Data,433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal,3695 - Taxa de câmbio - Livre - Dólar americano (compra) - Fim de período - mensal - u.m.c./US$,4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões),4469 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governo Federal - R$ (milhões),4470 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Banco Central - R$ (milhões),4472 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governos estaduais - R$ (milhões),4473 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governos municipais - R$ (milhões),13761 - Dívida bruta do governo geral - Saldos em R$ milhões - Metodologia utilizada a partir de 2008 - R$ (milhões),13762 - Dívida bruta do governo geral (% PIB) - Metodologia utilizada a partir de 2008 - %,"13763 - Dívida bruta do governo geral - Saldos em US$ milhões - Metodologia utilizada a partir de 2008 - US$ (milhões),,,,,,,,,,",4189 - Taxa de juros - Selic acumulada no mês anualizada base 252 - % a.a.,"4390 - Taxa de juros - Selic acumulada no mês - % a.m.,,","29037 - Endividamento das famílias com o Sistema Financeiro Nacional em relação à renda acumulada dos últimos doze meses (RNDBF) - %,"
08/2011,"0,37 ","1,5864 ","374.873,1 ","1.111.732,31 ","-43.301,66 ","389.672,40 ","66.951,10 ","2.216.647,64 ","52,29 ","1.397.281,67","12,42 ","1,7","35,97"
09/2011,"0,53 ","1,8536 ","370.119,9 ","1.038.258,49 ","-45.994,29 ","395.220,21 ","68.440,15 ","2.226.487,19 ","52,11 ","1.201.169,18","11,91 ","0,94","36,27"
10/2011,"0,43 ","1,6878 ","383.767,3 ","1.092.661,34 ","-47.113,24 ","395.940,01 ","68.727,23 ","2.226.255,49 ","51,70 ","1.319.028,2","11,70 ","0,88","36,43"
11/2011,"0,52 ","1,8102 ","391.536,4 ","1.066.589,03 ","-51.241,03 ","398.913,65 ","69.512,46 ","2.245.928,13 ","51,76 ","1.240.707,18","11,40 ","0,86","36,46"
12/2011,"0,50 ","1,8751 ","385.501,2 ","1.061.808,61 ","-52.616,76 ","404.620,94 ","69.724,30 ","2.243.603,72 ","51,27 ","1.196.524,84","10,90 ","0,91","36,53"
01/2012,"0,56 ","1,7385 ","364.188,7 ","1.103.174,69 ","-51.504,85 ","399.399,87 ","69.182,46 ","2.287.084,44 ","51,83 ","1.315.550,44","10,70 ","0,89","36,80"
02/2012,"0,45 ","1,7086 ","367.527,7 ","1.122.851,53 ","-50.526,38 ","397.624,73 ","69.776,79 ","2.322.816,00 ","52,22 ","1.359.484,96","10,40 ","0,75","36,82"
03/2012,"0,21 ","1,8215 ","397.757,8 ","1.088.494,97 ","-43.696,09 ","398.876,60 ","70.255,39 ","2.366.667,46 ","52,72 ","1.299.295,89","9,82 ","0,82","36,91"
04/2012,"0,64 ","1,8912 ","385.882,7 ","1.061.936,56 ","-44.764,75 ","401.660,38 ","71.012,03 ","2.405.973,84 ","53,22 ","1.272.194,29","9,35 ","0,71","37,1"
05/2012,"0,36 ","2,0217 ","401.863,7 ","1.035.849,47 ","-49.989,09 ","408.312,90 ","72.478,72 ","2.425.795,73 ","53,27 ","1.199.879,18","8,87 ","0,74","37,20"
06/2012,"0,08 ","2,0207 ","395.379,2 ","1.044.473,62 ","-53.640,53 ","413.921,87 ","73.969,53 ","2.449.693,36 ","53,42 ","1.212.299,38","8,39 ","0,64","37,40"
07/2012,"0,43 ","2,0494 ","409.024,9 ","1.041.538,17 ","-54.590,40 ","418.478,37 ","74.740,77 ","2.480.227,83 ","53,60 ","1.210.221,45","8,07 ","0,68","37,53"
08/2012,"0,41 ","2,0366 ","418.752,4 ","1.058.907,70 ","-60.887,14 ","424.178,72 ","76.538,02 ","2.491.332,22 ","53,33 ","1.223.280,8","7,85 ","0,69","37,70"
09/2012,"0,57 ","2,0300 ","402.671,5 ","1.049.294,61 ","-47.793,04 ","430.573,06 ","77.756,40 ","2.542.432,69 ","54,05 ","1.252.429,90","7,39 ","0,54","37,49"
10/2012,"0,59 ","2,0308 ","431.399,9 ","1.054.999,37 ","-51.653,22 ","434.411,33 ","78.476,61 ","2.590.520,15 ","54,52 ","1.275.615,59","7,23 ","0,61","37,67"
11/2012,"0,60 ","2,1068 ","426.614,9 ","1.050.451,38 ","-55.407,44 ","435.066,87 ","78.757,25 ","2.615.831,55 ","54,65 ","1.241.613,61","7,14 ","0,55","37,84"
12/2012,"0,79 ","2,0429 ","413.696,7 ","1.061.857,96 ","-59.653,27 ","441.099,85 ","78.322,82 ","2.583.946,35 ","53,67 ","1.264.842,31","7,16 ","0,55","38,0"
01/2013,"0,86 ","1,9877 ","408.895,0 ","1.079.725,51 ","-64.799,33 ","441.084,34 ","78.710,99 ","2.623.366,11 ","53,98 ","1.319.799,82","7,11 ","0,60","38,19"
02/2013,"0,60 ","1,9749 ","398.087,4 ","1.112.300,00 ","-66.903,16 ","441.008,68 ","78.484,54 ","2.641.965,88 ","54,03 ","1.337.771,98","7,12 ","0,49","38,27"
03/2013,"0,47 ","2,0132 ","434.631,2 ","1.102.030,54 ","-56.447,72 ","443.423,63 ","78.511,23 ","2.663.208,83 ","54,05 ","1.322.873,45","7,15 ","0,55","38,10"
